(44.07074093, 137.07113962)
(60.05149988, 137.02136385)
(63.07113962, 137.07074093)
(73.24645508, 138.45804388)
(73.02286727, 135.07074093)
(74.79975002, 128.74617736)
(64.80070531, 128.60795682)
(58.79721137, 132.06227519)
(53.07113962, 140.26057394)
(59.73752861, 147.71438222)
(57.44021603, 164.68904236)
(73.09944843, 176.70888142)
(83.02373289, 177.93712324)
(92.83480261, 179.87178366)
(101.78191206, 175.40532728)
(111.64548726, 177.05149988)
(124.70672055, 166.10760168)
(129.51801265, 157.34110475)
(137.04251971, 150.75461908)
(145.06116754, 156.72967447)
(151.61604471, 164.28173282)
(155.00170294, 173.69115992)
(164.51444652, 176.77461733)
(174.49056053, 177.46537729)
(184.48304919, 177.85289553)
(192.02136385, 171.28221732)
(200.72047899, 176.21429556)
(210.68836211, 175.41347973)
(215.93634829, 183.92574389)
(225.81762658, 185.46208348)
(232.59527337, 192.81487234)
(240.01137413, 199.52318431)
(250.0, 200.0)
